,number,actual,predict
0,277,13.4,11.088762283325195
1,681,8.6,3.685579776763916
2,1120,3.5,2.367450714111328
3,76,1.5,3.613401174545288
4,428,5.9,5.857462406158447
5,445,8.1,5.082780361175537
6,162,14.2,8.123488426208496
7,595,6.5,5.468611717224121
8,36,18.3,15.253447532653809
9,1052,21.1,21.14398956298828
10,259,2.0,4.953683853149414
11,645,4.1,4.457032680511475
12,679,17.2,16.184064865112305
13,149,10.0,7.498404026031494
14,552,19.0,20.5666446685791
15,134,3.5,4.649702072143555
16,621,11.2,12.667255401611328
17,201,5.1,6.825992107391357
18,1118,5.3,2.5133447647094727
19,631,0.0,2.2545626163482666
20,246,4.4,5.706750392913818
21,1014,8.2,6.546390056610107
22,804,28.4,19.383481979370117
23,644,10.7,10.430930137634277
24,692,6.0,6.488136291503906
25,839,1.0,3.933288812637329
26,292,13.0,11.22763442993164
27,172,4.9,6.47003173828125
28,426,3.5,3.3380320072174072
29,192,4.6,4.906832695007324
30,266,16.3,13.70947551727295
31,41,2.9,3.3796980381011963
32,1151,6.8,6.920839309692383
33,264,7.4,7.888051509857178
34,819,0.0,3.1228885650634766
35,357,8.8,7.58455228805542
36,373,11.4,7.666522026062012
37,781,1.5,4.822667121887207
38,794,3.7,3.5301969051361084
39,556,4.6,3.360661268234253
40,209,8.2,6.350765705108643
41,1163,5.8,5.4301228523254395
42,593,9.7,6.572681427001953
43,55,5.6,5.570898532867432
44,184,8.9,7.59702730178833
45,19,2.9,3.06695818901062
46,1128,1.0,4.120227336883545
47,220,1.3,4.163949489593506
48,421,5.5,5.380578517913818
49,940,6.7,6.174143314361572
50,590,7.6,3.345891237258911
51,49,8.7,14.2076416015625
52,730,5.1,9.978021621704102
53,470,7.4,8.306262016296387
54,575,9.2,7.238128185272217
55,447,0.0,3.1228885650634766
56,511,9.0,5.952572822570801
57,544,4.1,4.673886775970459
58,1054,7.4,7.22299861907959
59,69,20.9,19.014631271362305
60,1142,4.4,6.288915634155273
61,856,5.4,7.122211933135986
62,547,6.4,4.292487144470215
63,1109,5.5,5.806020259857178
64,666,5.1,4.267858505249023
65,332,6.2,8.44650936126709
66,878,8.6,7.6454596519470215
67,393,5.2,5.9349565505981445
68,752,9.9,5.068874359130859
69,651,5.0,4.637221336364746
70,768,6.5,8.130146026611328
71,344,16.3,15.196768760681152
72,614,4.0,4.481557369232178
73,561,4.5,6.17897367477417
74,33,3.2,4.125332355499268
75,169,9.3,8.45070743560791
76,809,11.9,9.629751205444336
77,675,4.5,6.4879584312438965
78,701,14.0,13.183560371398926
79,578,14.3,15.458410263061523
80,507,3.1,5.243910789489746
81,831,6.8,6.522126197814941
82,800,9.0,9.39302921295166
83,1156,6.0,9.885710716247559
84,80,13.6,15.240220069885254
85,5,3.3,1.7906670570373535
86,304,5.4,4.693752765655518
87,782,5.8,4.8156585693359375
88,278,7.7,7.209109783172607
89,385,3.3,4.601859092712402
90,1113,10.1,8.110589981079102
91,109,12.5,9.059417724609375
92,1108,6.2,8.204980850219727
93,12,8.8,5.31057071685791
94,550,6.5,4.083043575286865
95,869,6.0,5.972757339477539
96,743,13.3,11.645598411560059
97,729,5.3,7.658632278442383
98,210,11.7,8.22725772857666
99,158,7.3,8.025690078735352
100,967,11.3,7.666522026062012
101,672,4.9,4.753324031829834
102,301,15.9,15.543193817138672
103,365,5.0,6.078575134277344
104,1022,7.7,5.783567428588867
105,100,1.7,2.4594247341156006
106,673,5.4,5.1793599128723145
107,723,1.0,4.066568374633789
108,853,4.5,6.516845226287842
109,705,15.0,15.875568389892578
110,1028,7.0,6.115508556365967
111,954,1.0,1.6489078998565674
112,280,10.6,7.9117608070373535
113,253,13.4,11.535224914550781
114,164,10.9,10.6781587600708
115,272,12.5,10.73198127746582
116,446,7.6,4.879158020019531
117,956,8.2,8.426444053649902
118,202,3.0,7.134603023529053
119,1061,11.7,11.615108489990234
120,1138,1.0,4.129913330078125
121,936,0.0,1.8506057262420654
122,759,11.5,9.985913276672363
123,442,0.0,2.0007286071777344
124,372,8.3,7.139273643493652
125,260,2.6,4.3988800048828125
126,179,5.0,6.381285667419434
127,720,2.0,4.1201863288879395
128,101,2.5,5.177550315856934
129,471,12.0,14.28920841217041
130,500,5.7,4.477199554443359
131,987,2.4,1.7659757137298584
132,479,0.0,3.03389310836792
133,1067,5.5,5.340391159057617
134,1058,9.8,8.788887023925781
135,389,4.5,5.187573432922363
136,267,13.6,13.65909194946289
137,53,20.3,17.395875930786133
138,436,7.4,5.861814022064209
139,1124,0.0,6.917659759521484
140,843,10.2,9.443045616149902
141,694,10.5,11.085355758666992
142,841,5.1,5.544951438903809
143,212,7.7,8.661994934082031
144,71,2.8,3.7242448329925537
145,874,5.9,4.244024276733398
146,915,13.0,9.540179252624512
147,1048,12.4,12.386435508728027
148,145,7.0,4.794400215148926
149,94,2.0,4.7989501953125
150,829,5.1,6.090505599975586
151,708,9.6,13.635948181152344
152,395,2.6,4.741672515869141
153,82,5.3,4.577051162719727
154,42,0.0,1.6413798332214355
155,534,5.3,4.989551544189453
156,346,19.9,19.864343643188477
157,57,2.0,5.612714767456055
158,425,4.2,4.261950969696045
159,1158,5.4,4.880816459655762
160,903,5.2,5.853991508483887
161,321,13.5,6.137515068054199
162,1064,16.1,13.56637954711914
163,73,9.0,7.386832237243652
164,1019,9.8,9.768789291381836
165,284,4.7,5.081122875213623
166,441,0.6,2.0007286071777344
167,523,5.7,6.882621765136719
168,1005,4.0,6.607761383056641
169,255,5.6,5.02403450012207
170,207,11.8,10.82858657836914
171,1085,12.9,14.637503623962402
172,72,27.2,17.222070693969727
173,317,2.4,5.6697492599487305
174,114,11.2,8.649920463562012
175,581,3.6,5.22188663482666
176,821,10.0,19.802335739135742
177,380,2.0,4.635903835296631
178,1016,8.3,9.303614616394043
179,1125,9.0,5.659998416900635
180,898,4.9,5.874250411987305
181,44,1.0,3.735351085662842
182,1105,6.8,9.212933540344238
