,number,actual,predict
0,1093,20.5,17.517215728759766
1,642,15.1,14.26310920715332
2,379,21.2,19.038362503051758
3,489,17.2,17.052047729492188
4,594,15.4,14.028457641601562
5,109,15.9,15.448951721191406
6,322,14.5,14.898630142211914
7,975,18.7,19.200965881347656
8,488,18.7,18.773334503173828
9,136,16.2,15.738118171691895
10,436,18.0,17.731998443603516
11,1067,16.3,15.134653091430664
12,394,19.0,17.99142837524414
13,347,15.7,15.059623718261719
14,34,15.0,15.100762367248535
15,236,15.8,13.994294166564941
16,11,15.4,14.458797454833984
17,1147,15.3,16.121349334716797
18,791,18.1,17.80185317993164
19,406,18.2,13.052845001220703
20,520,16.8,17.180042266845703
21,1149,16.3,16.807361602783203
22,647,17.9,17.70053482055664
23,739,16.3,15.370899200439453
24,473,15.5,17.674842834472656
25,786,13.8,13.204647064208984
26,967,19.9,18.614572525024414
27,17,16.4,16.648740768432617
28,702,15.9,15.294239044189453
29,790,14.8,14.830429077148438
30,200,16.1,15.964202880859375
31,869,17.3,17.22028160095215
32,397,16.8,18.23042106628418
33,480,17.1,15.81563949584961
34,260,19.9,19.075180053710938
35,682,18.0,15.089288711547852
36,863,14.0,16.522733688354492
37,1079,15.2,14.205612182617188
38,620,16.5,15.585603713989258
39,619,15.8,14.941210746765137
40,963,17.0,14.847155570983887
41,1160,16.3,16.12384033203125
42,705,16.0,15.601563453674316
43,341,16.0,15.63021469116211
44,714,15.8,15.726774215698242
45,202,15.3,16.406108856201172
46,466,17.6,15.839632034301758
47,576,16.2,15.530428886413574
48,277,15.6,14.042619705200195
49,670,17.1,15.358308792114258
50,27,18.6,16.963058471679688
51,821,14.7,14.033382415771484
52,901,16.2,16.854415893554688
53,1121,14.2,17.121362686157227
54,918,16.8,17.042736053466797
55,530,17.0,14.611083984375
56,403,20.0,19.195711135864258
57,949,19.2,18.981136322021484
58,1064,19.2,17.95159149169922
59,667,17.2,16.992298126220703
60,168,15.7,15.380620956420898
61,650,16.2,15.392509460449219
62,164,20.1,19.65079689025879
63,455,19.0,18.645069122314453
64,527,16.4,15.269673347473145
65,764,15.5,15.299193382263184
66,725,17.2,17.555112838745117
67,864,15.5,15.15455150604248
68,99,16.2,15.822650909423828
69,767,18.7,19.50152587890625
70,754,19.4,13.208337783813477
71,577,16.0,15.356623649597168
72,428,16.3,17.129575729370117
73,987,18.2,15.672167778015137
74,20,15.4,14.542625427246094
75,1049,20.2,18.2287654876709
76,710,19.3,16.820688247680664
77,602,16.7,15.21209716796875
78,1157,15.2,15.420812606811523
79,876,19.0,17.815746307373047
80,809,19.5,17.368513107299805
81,161,17.9,17.585912704467773
82,230,17.5,18.355451583862305
83,386,19.5,18.262197494506836
84,195,17.1,16.301578521728516
85,19,16.9,15.510164260864258
86,851,15.3,14.724871635437012
87,1011,20.0,18.896690368652344
88,1118,18.0,16.085893630981445
89,1143,16.2,15.99087905883789
90,603,18.6,17.364707946777344
91,1056,19.0,19.90898895263672
92,372,19.4,18.088855743408203
93,610,16.7,15.236916542053223
94,653,16.8,15.815693855285645
95,635,17.7,16.519073486328125
96,56,17.0,17.437068939208984
97,462,16.1,14.709675788879395
98,600,15.2,15.306488037109375
99,854,17.3,17.118520736694336
100,144,20.6,20.00564956665039
101,1109,16.4,15.37124252319336
102,806,20.2,19.927230834960938
103,290,19.5,19.125158309936523
104,68,16.8,16.81903839111328
105,1085,17.8,18.24351692199707
106,907,16.9,16.00274658203125
107,152,20.0,19.553813934326172
108,944,19.4,18.768028259277344
109,1066,16.7,16.252887725830078
110,105,15.4,14.945253372192383
111,657,18.4,18.01456069946289
112,839,16.0,15.412897109985352
113,261,17.0,17.120698928833008
114,722,13.4,15.451446533203125
115,172,16.1,16.439531326293945
116,1107,19.3,18.142820358276367
117,321,20.6,18.30768394470215
118,846,16.2,18.118350982666016
119,399,19.7,17.846580505371094
