,number,actual,predict
0,1103,19.0,19.089780807495117
1,1014,17.3,17.501052856445312
2,2,14.6,13.528938293457031
3,638,17.0,16.290760040283203
4,97,16.1,15.51650619506836
5,323,16.0,15.348438262939453
6,169,19.1,18.517202377319336
7,708,16.9,16.98933219909668
8,741,18.2,17.571592330932617
9,681,19.2,16.689743041992188
10,879,17.0,16.978971481323242
11,671,16.2,15.69993782043457
12,282,18.8,17.139911651611328
13,862,20.0,18.327627182006836
14,387,20.6,19.3940486907959
15,442,16.1,15.356663703918457
16,709,15.6,16.543405532836914
17,568,15.8,14.581185340881348
18,58,16.5,16.177343368530273
19,178,14.6,12.101758003234863
20,331,16.6,15.385356903076172
21,707,20.0,16.160154342651367
22,1127,16.5,15.545738220214844
23,31,17.8,17.69170570373535
24,658,16.7,16.194313049316406
25,177,14.7,12.101758003234863
26,275,15.1,14.777910232543945
27,334,16.2,17.367733001708984
28,856,15.8,15.188051223754883
29,242,18.6,19.008996963500977
30,326,14.7,15.121278762817383
31,679,16.9,16.843225479125977
32,81,16.3,16.373136520385742
33,54,17.0,14.969339370727539
34,1075,18.1,15.839917182922363
35,66,18.4,16.918472290039062
36,747,18.6,14.235349655151367
37,272,17.2,16.624059677124023
38,760,15.8,15.599205017089844
39,815,15.0,15.281805038452148
40,877,14.8,13.203271865844727
41,464,19.1,19.267263412475586
42,604,16.6,15.81048583984375
43,685,15.3,15.501211166381836
44,822,16.0,15.037927627563477
45,1043,17.8,15.767928123474121
46,434,19.5,18.54867172241211
47,857,16.2,15.410971641540527
48,1070,16.8,15.298365592956543
49,805,14.4,15.7554931640625
50,437,21.7,19.112606048583984
51,557,16.3,15.035787582397461
52,478,16.8,17.03264045715332
53,1167,18.0,16.762239456176758
54,986,19.5,17.852378845214844
55,280,21.4,19.803936004638672
56,958,16.0,15.97437858581543
57,534,15.3,13.119424819946289
58,721,15.2,15.225980758666992
59,425,16.3,15.598400115966797
60,1097,17.3,16.363876342773438
61,756,15.8,16.020076751708984
62,1105,16.2,15.379512786865234
63,627,16.0,14.368623733520508
64,874,15.7,15.911898612976074
65,744,15.3,14.136312484741211
66,572,16.0,16.063602447509766
67,713,16.2,15.037138938903809
68,743,15.0,14.5856294631958
69,167,19.1,18.737201690673828
70,729,17.0,17.279512405395508
71,420,15.5,15.743664741516113
72,762,14.2,14.754226684570312
73,973,19.9,19.584644317626953
74,745,18.3,15.600971221923828
75,174,15.5,16.38202476501465
76,728,16.7,14.831708908081055
77,513,15.7,14.247726440429688
78,1178,15.6,16.022829055786133
79,1114,16.3,15.577460289001465
80,300,19.4,19.344209671020508
81,114,19.7,18.587026596069336
82,736,16.4,16.40538787841797
83,837,16.9,16.725648880004883
84,750,13.8,11.878985404968262
85,636,15.7,16.95170783996582
86,868,19.0,16.26015853881836
87,454,16.2,16.66853141784668
88,962,11.7,13.009452819824219
89,652,15.5,14.968427658081055
90,814,18.0,16.992149353027344
91,375,18.0,18.280012130737305
92,181,17.1,16.8042049407959
93,634,15.5,12.581849098205566
94,668,16.0,16.232816696166992
95,644,15.0,16.251741409301758
96,77,16.7,15.349737167358398
97,916,17.4,16.891651153564453
98,1046,17.5,16.507009506225586
99,74,17.1,16.543405532836914
100,912,18.5,17.94795036315918
101,929,13.5,16.16786003112793
102,1081,20.2,20.335119247436523
103,896,15.8,15.525909423828125
104,706,15.9,15.485940933227539
105,979,18.0,17.345251083374023
106,1168,15.1,15.444095611572266
107,655,15.7,16.685794830322266
108,132,19.5,17.41588592529297
109,645,16.2,15.46631145477295
110,597,15.2,14.672414779663086
111,203,17.3,17.204614639282227
112,385,18.8,18.889358520507812
113,960,12.6,12.40538215637207
114,972,19.6,18.826040267944336
115,889,16.4,16.102622985839844
116,1115,18.3,17.22018814086914
117,411,20.0,17.749536514282227
118,609,18.4,12.947356224060059
119,14,16.8,17.94489097595215
120,812,17.2,17.854251861572266
121,238,18.2,18.49883460998535
122,683,16.2,15.13746166229248
123,184,19.7,19.80501937866211
124,1063,18.0,19.73179054260254
125,888,16.8,15.638917922973633
126,438,15.7,15.63017463684082
127,763,12.3,15.73710823059082
128,1051,20.5,17.699480056762695
129,444,17.4,17.4932804107666
130,842,14.7,15.976217269897461
131,865,17.0,19.98760986328125
132,535,14.7,14.975530624389648
133,999,12.4,12.335497856140137
134,306,20.0,19.3499698638916
135,611,17.2,16.75998878479004
136,1142,19.5,17.850738525390625
137,880,22.0,17.531221389770508
138,968,20.4,19.753427505493164
139,412,16.9,16.941164016723633
140,243,17.7,16.95018196105957
141,246,20.5,19.572080612182617
142,35,17.2,17.700105667114258
143,795,14.7,15.62753677368164
144,313,20.0,18.350379943847656
145,1017,16.2,16.363691329956055
146,1062,15.0,15.206109046936035
147,545,16.7,18.327157974243164
148,991,15.7,15.974760055541992
149,789,14.9,14.938776969909668
150,208,15.7,15.937295913696289
151,1106,18.0,18.175628662109375
152,255,16.2,15.883237838745117
153,803,17.5,19.022001266479492
154,148,19.9,18.21548080444336
155,1020,16.7,16.296035766601562
156,598,17.4,16.153074264526367
157,737,18.4,18.23685073852539
158,988,18.5,14.909229278564453
159,252,19.5,18.41939353942871
160,374,17.8,17.7635440826416
161,64,18.1,16.95276641845703
162,939,18.0,18.930946350097656
163,247,19.8,18.97012710571289
164,588,17.6,15.822571754455566
165,919,18.0,17.532791137695312
166,257,17.2,17.063737869262695
167,522,16.6,17.023662567138672
168,353,17.0,15.969545364379883
169,1074,17.8,15.435750961303711
170,1004,19.5,18.895618438720703
171,28,18.7,19.869216918945312
172,961,12.2,12.797623634338379
173,337,20.0,18.725223541259766
174,1022,15.8,15.515716552734375
175,446,17.2,16.59910774230957
176,307,15.5,15.03415298461914
177,505,15.7,14.339395523071289
178,211,17.2,17.540477752685547
179,175,20.1,20.037349700927734
180,71,18.3,16.29426383972168
181,873,16.8,16.130657196044922
182,220,14.5,13.356103897094727
183,751,16.0,14.793130874633789
184,641,16.5,15.449920654296875
185,78,15.7,15.558592796325684
186,780,16.3,14.679035186767578
187,995,15.1,11.776144027709961
188,133,15.6,14.2971773147583
189,149,20.9,20.02739906311035
190,258,17.5,17.056005477905273
191,357,15.7,15.047409057617188
192,593,15.5,15.2641019821167
193,765,17.9,13.28592300415039
194,170,20.4,19.84225082397461
195,409,17.3,19.85127067565918
196,892,18.5,17.28731346130371
197,849,16.0,15.452726364135742
198,692,15.4,14.026399612426758
199,1057,20.5,18.723112106323242
