SC#N,16.8
CC1CCCC1,16.0
CCCCC(CC)CNCC(CC)CCCC,15.6
CCCCCCCCCC,15.7
O=C(CCCCCCCCC(=O)OCc1ccccc1)OCc2ccccc2,17.8
COC(=O)C(Cl)=C,15.9
OCCC#N,17.2
CC(=C)C1CCC(=CC1)C,17.2
CC(=O)c1ccccc1,18.8
C=CC#C,16.0
CCc1ccccc1,17.8
CCCCCCCCCc1ccccc1O,16.5
C[CH]=[C]=[CH2],15.0
CC1COC(=O)O1,20.0
Cc1c[nH]c2ccccc12,20.0
CC(=C)C(=O)OCC=C,15.2
CCOCCOCC,15.4
OC(c1ccccc1)C(=O)c2ccccc2,19.9
Sc1ccccc1Cl,20.2
C[P](F)(F)=O,14.0
FC(Cl)=C,16.0
BrC(Br)C(Br)Br,21.0
CN,14.4
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(C)=O,16.8
NCCO,17.0
Cc1ccon1,19.4
CCOCCOC(C)=O,15.9
COC(=O)C(C)=C,15.8
CO[S](=O)(=O)c1ccc(C)cc1,19.6
Cc1ccc(cc1)[N+]([O-])=O,19.5
Cc1ccccc1C,17.8
o1ccc2ccccc12,18.7
O=C1OCC=C1,19.0
Cc1c(C)c(C)c(C)c(C)c1C,19.2
CCOCCCl,16.3
O=C1c2ccccc2C(=O)c3ccccc13,20.3
CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC,16.5
CC(=C)C(Cl)=O,17.1
CCOC(=O)C(C)=C,15.8
OC(=O)C(Cl)(Cl)Cl,18.3
CCOC(C)OCC(C)O,15.4
CCCCOC(=O)C(C)=C,15.4
[O-][N+](=O)c1ccc(Br)cc1,20.9
CC(O)COC(C)(C)C,15.3
CCCCCCCC(O)=O,15.7
CCCCC(O)=O,15.0
OC(CCl)CCl,17.5
C=[N+]=[N-],14.7
CCC(C)O,15.8
CCCCCCCCCO,16.0
Clc1ccc(C=O)cc1,19.9
CC1=CNC(=O)NC1=O,19.0
[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,15.5
CC(=O)Oc1ccccc1,19.8
O=CN1CCCCCC1,18.5
Cc1c(Cl)cccc1[N+]([O-])=O,20.3
CCCCCCCCCCCCCCCCCCCC,16.5
CCCl,15.7
CCCCCCCCC,15.7
CCOC#C,15.4
CCCCOC(=O)C(C)O,15.8
CC(=C)C(=O)OCc1ccccc1,16.8
CCCCCCCCCCCCCCCC(=O)OC(C)C,16.2
ClC(Cl)c1ccccc1,19.0
O=C1CCCCCCCCC1,16.8
CC(O)=O.CC(O)=O.OCC(O)CO,16.4
CCCCC,14.5
O=CN1CCCCC1,18.7
C1OCOCO1,18.7
COc1cc(CC=C)ccc1O,19.0
CC=NO,16.3
CCC#C,15.1
C/C=C/C(O)=O,16.8
c1ccnnc1,20.2
FC(F)(Cl)Cl,14.9
O=C1CCCN1C2CCCCC2,18.2
c1ccc2ncccc2c1,20.5
NCCc1ccc(O)c(O)c1,18.2
OC=O,14.6
Cc1cccc(C)c1O,19.1
COCC=C,15.0
C1CCCC1,16.4
CCCCN(CCCC)C=O,15.5
Brc1ccc(cc1)C#N,20.4
Oc1c(Cl)cccc1Cl,20.1
COC=CC,15.0
CC[N+]([O-])=O,16.0
C/C=C/C(=O)OC=C,15.9
CO[P](C)(=O)OC,16.7
O=C1Oc2ccccc2C=C1,20.0
[SiH3]C=C,15.5
Cc1ccc(O)cc1C,19.2
CCCC(C)O,15.6
OC(=O)c1[nH]c2cc(O)c(O)cc2c1,19.5
Cc1ccc(O)c(c1)C(C)(C)C,17.3
CC(=C)C(=O)OCC1CO1,16.3
CCOC(=O)CCCCC(=O)OCC,16.4
CC(C)(c1ccc(O)cc1)c2c(Br)cc(OBr)c(Br)c2Br,20.2
OCC(Cl)CCl,17.5
OCCNCCO,17.2
CC(C)(O)CN,16.1
COc1ccccc1Br,19.8
Clc1ccc(C=C)cc1,18.7
BrC(Br)Br,20.0
CC(CCl)OC(C)CCl,19.0
Fc1ccccc1Cl,19.4
CC(C)CC(C)=O,15.3
C=CSC=C,16.5
Oc1ccc(c(c1)[N+]([O-])=O)[N+]([O-])=O,19.5
CCOC(=O)C(=O)OCC,16.2
Nc1ncnc2nc[nH]c12,20.0
CCCC(N)=O,16.9
CCCCCCCCC=C,15.6
CCCCc1cccc(C)c1,17.4
c1ccncc1,19.0
OC(=O)c1ccccc1,20.0
Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,20.0
CCCC(=O)OC(=O)CCC,15.8
CCOc1ccc(Br)cc1,19.5
CC(C)(C)Cl,15.6
C1COCCO1,17.5
N,13.7
Cc1ccccc1Cl,19.0
Clc1sccc1,19.2
ClC(Cl)Cl,17.8
CCCCCCCCCCC,16.0
C1CCOC1,16.3
CC(C)N,14.8
Fc1c(F)c(F)c(F)c(F)c1F,16.0
CCC(=C)C=C,15.3
CCC(Cl)=O,16.1
ClCC=CCCl,17.8
CCCCc1ccccc1,17.4
C1c2ccccc2c3ccccc13,21.3
S=C=S,20.2
s1cccc1,18.9
COc1ccc(cc1)C(C)=O,18.9
Oc1cccc(O)c1O,20.7
C#C.C#C,14.4
Nc1ccc(cc1)[S](N)(=O)=O,20.0
NC(=O)CCl,17.6
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,12.2
CN(C)C,14.6
N#CC#CC#N,15.2
C1CCCCC1,16.8
CCN(CC)C(C)=O,16.4
CC(C)CC(=O)CC(C)C,16.0
O=C1CCCN1Cc2ccccc2,18.2
CCCCCCCC\C=C/CCCCCCCCOCCOCCOCCO,16.0
BrCC#C,18.1
CC(O)COc1ccccc1,17.4
COCOC,15.0
[O-][N+](=O)c1cc(c(Cl)cc1Cl)C(F)(F)F,19.9
Cc1ccc(Cl)cc1,19.1
CC(=O)N1CCOCC1,18.3
CCC(=C)CC,14.9
CCCCOC(=O)\C=C/C(=O)OCCCC,16.5
Oc1cccc(O)c1,18.6
CC1OC(=O)OC1C,18.0
Oc1cccc2ccccc12,19.7
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,12.8
BrC#C,15.7
Clc1ccc(Cl)cc1,19.7
CCCCCCOC(C)=O,15.8
NCCN,16.6
CC=CC,14.6
OC(=O)CCCCC(O)=O,17.1
ClCC(Cl)=O,17.5
OCC(O)CO,17.4
C=Cc1ccccc1,18.6
BrC=C,15.9
CC(C)c1ccccc1,18.1
Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,20.0
CCCCO,16.0
O=C1CCCCC1,17.8
C#N,12.3
C[C@H]1C[C@H](C)C(=O)[C@@H](C1)[C@H](O)CC2CC(=O)NC(=O)C2,18.3
ClC(Cl)(Cl)Cl,17.8
CCc1ccccc1Cl,18.9
CCCOC(C)=O,15.3
CCCCOC(=O)CC,15.7
CCF,15.2
S1C=CSC1=C2SC=CS2,21.0
ClCC#N,17.4
N#CCc1ccccc1,19.5
O=C=S,17.4
CCCCCCC,15.3
C1CCNC1,17.9
CC(=O)OCC(COC(C)=O)OC(C)=O,16.5
CO[C@@H]1CO[C@@H]2[C@H](CO[C@H]12)OC,17.6
OC[CH]=[C]=[CH2],16.2
CCC(=O)OC,15.5
CC=CCC#N,16.4
CCCCOC(C)=O,15.8
CC(C)=C=O,15.2
Fc1cccc(F)c1C#N,18.8
CCC(C)OC(C)=O,15.0
