C=CCNCC=C,4.5
O[P](O)(O)=O,18.6
CC=CCl,6.9
CCOC(Cl)=CCl,10.5
[CH2]=[C]=[CH2],3.0
CCCOCCO,8.7
Cc1ccc(O[P](=O)(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1,12.3
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,6.2
CCCCc1ccccc1C,0.1
CC(=O)c1sccc1,12.2
O=C1CCCCC1=O,10.3
CCCC(F)(F)C(F)(F)C(O)(F)F,4.4
[O-][N+](=O)OCCO[N+]([O-])=O,18.0
CC=CC=C,2.5
Oc1cc2[nH]ccc2cc1O,8.8
[O-][N+](=O)c1cccc(Cl)c1Cl,12.6
CC1CO1,8.6
FC(F)(F)c1cccc(c1)C(F)(F)F,6.8
CCC=C,1.3
O=C1CCO1,18.2
CCCCCCCC=C,1.0
OO,12.2
CCCOC(=O)C(C)=C,6.6
OCC(Cl)=C,10.2
CCCCOCCOCCOC(C)=O,4.1
CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2,10.3
C1CCNCC1,4.5
[nH]1ccnn1,8.8
COC(C)(C)C,4.3
COCCOCCO,7.8
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0
CC(C)COC(=O)CCCCC(=O)OCC(C)C,2.5
CCN1CCCC1=O,12.0
CCO[S](=O)(=O)OCC,12.7
C1CCC(CC1)c2ccccc2,0.0
CCCCC(O)CC,5.4
ClC(Cl)(Cl)C(Cl)(Cl)Cl,2.0
CCOC(=O)c1ccccc1,6.2
CC#CC,3.4
[O-][N+](=O)CCl,13.5
Cc1cc(C)cc(C)c1,0.6
C[n+]1ccc(cc1)c2cc[n+](C)cc2,8.8
FC(=C)C=C,5.8
O=CC1CO1,13.4
CSc1ccccc1,4.8
Cc1ccc(N)c(C)c1,5.2
CC(C)OC(C)=O,4.5
CCCCCCCCCCCCCCCCCC(=O)OCCCC,3.7
OCCCO,13.5
FC(F)(F)Br,2.4
CCOCCC=O,8.8
CCOC(C)=O,5.3
Cc1cccc2ccccc12,0.8
CCOC(=O)C=Cc1ccccc1,8.2
COC#C,8.1
C/C=C/C#N,18.8
CCCCOC(=O)C=C,6.2
CC(C)=C,2.0
ClC(=C)C=C,5.4
CC(Cl)=O,11.2
Cc1ccc(Cl)c(O)c1,7.7
CCCS,5.8
O=C(OCc1ccccc1)c2ccccc2,5.1
CC12CCC(CC1)C(C)(C)O2,4.6
CCCCC(CC)COC(=O)C=C,4.3
CCCO,6.8
CCCCC=O,9.4
COC(=O)CCC(=O)OC,7.7
CCCCCC=C,1.1
CCOC,4.7
ClC1C(Cl)(Cl)C1(Cl)Cl,10.5
CCOCC,2.9
COc1ccc(N)cc1,6.5
CN(C)C(=S)N(C)C,6.0
N#CSC#N,13.5
C=O,14.4
CC1CCCCC1=O,7.8
COc1cc(C=O)ccc1O,9.8
C=COC=O,6.5
C=CCOCC=C,4.4
CC(=O)CCl,9.6
CCC(C)=C,1.8
FC(F)Cl,6.3
OCCOc1ccccc1,5.7
CCOc1ccccc1,4.5
COC(=O)CCCCC(=O)OC.COC(=O)CCCC(=O)OC.COC(=O)CCC(=O)OC,6.5
CSSC,7.8
OCCCCCCCCCO,7.0
C=CC1CO1,7.7
COC1OCCO1,8.4
CCCCCC,0.0
COCBr,8.5
CC(=C)C(O)=O,2.8
CN1CCCC1=O,12.3
CCCCNCCCC,3.0
CCO,8.8
OCCc1ccccc1,5.6
C1CCc2ccccc2C1,2.0
CCCCCCCCCCCCC=C,0.5
Clc1ccc(Cl)c(Cl)c1,4.2
FC(F)(F)C1(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,0.0
O=CCCC=O,9.8
Cl[S](Cl)=O,6.4
CC(C)[N+]([O-])=O,12.1
OC(=O)c1ccccc1O,9.0
C=C1CC(=O)O1,14.5
CCSC,5.9
CC1(C)C2CC3C(C2)C13C,0.0
C1CN1,11.0
CCCCCC(=O)OC(C)C=C,2.7
CN(C)N,5.9
FC=C,7.0
CC(O)=O.OCC(O)CO.OC(O)=O,14.7
CCCCCCCO,5.3
CCC(C)CO,5.1
C1CCOC1,5.7
COC(C)CCO,5.4
CC,0.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,0.0
CF,10.6
CCc1ccc(CC)cc1,0.0
CCCCC(CC)COC=C,3.4
CCCCCCOCCO,5.0
CCSC,4.8
C=CCC#N,14.3
CC(F)=O,14.0
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,4.7
CCCCCCCCCCCC,0.0
CCC(=O)OCCC(C)C,5.2
CCOC(=O)CC(C)=O,7.3
C1CC[C@@H]2CCCC[C@H]2C1,0.0
COCC(C)O,6.3
CC(Cl)(Cl)[N+]([O-])=O,12.1
CCCC(OCC)OCC,4.9
S=C1CCCO1,6.9
CC#C,3.8
OCC1CCCO1,8.2
CCCCOCCOCCCC,4.5
COC1CCCC1,4.3
IC(=C)C=C,2.5
COC(C)OC,4.9
ClC=CCl,8.0
N#CC1CC1,16.2
CCOC(=O)CC,6.1
CCSCCCl,5.0
o1cccc1,1.8
[O-][N+](=O)c1ccc(Cl)c(Cl)c1,7.2
OCCOC(=O)C=C,13.2
O=[S]1(=O)CCCO1,16.0
COC(C)(C)CCO,6.3
C1COCO1,6.6
CC1(C)CO1,4.8
ClCCCCCl,7.7
ClC(Cl)C=O,9.1
ClC1CC1,7.2
Cc1ccc(Cl)cc1[N+]([O-])=O,11.8
CCOCCOC(=O)C=C,5.1
Oc1ccc(cc1)[S](=O)(=O)c2ccc(O)cc2,14.6
CC1=CCC2CC1C2(C)C,1.8
CCCO[N+]([O-])=O,11.3
ClC(Cl)(Cl)Br,8.1
C1CCOCC1,6.3
O=C1OCCO1,21.7
ClCCOCCCl,9.0
CC1OCCO1,4.8
CC(C)OCCO,8.2
CC(=O)OC(C)(C)C,3.7
N(c1ccccc1)c2ccccc2,3.3
CCCCOCCCC,3.4
C#Cc1ccccc1,2.8
[O-][N+](=O)c1cc(F)ccc1F,7.2
CN(C)Cl,7.8
CCC#N,14.3
CCCOC(=O)CC,5.6
CC(C)=CCl,7.1
CC(Br)Br,8.4
OCC(O)C1OC(=C(O)C1=O)O,11.7
CCCCOC(=O)CCC,2.9
CCCCS,5.3
CCCCOC(=O)CC(O)(CC(=O)OCCCC)C(=O)OCCCC,3.8
[O-][N+](=O)c1ccc(Br)cc1C(F)(F)F,6.0
CCOC(=O)CC(=O)OCC,7.7
OCCO.O[S](O)=O,15.9
CCN,5.6
Clc1ccccc1C=C,4.7
CN=C=O,11.5
OC(=O)C(Cl)=C,9.4
C\C=C(/C)C=O,12.9
Nc1ccc(Cl)cc1Cl,6.2
CCCCCO,5.9
CCCOCCOCCO,7.2
CC1(C)C2CCC1C(=C)C2,1.5
OC1CCOC1,9.4
FC(F)(F)c1cc(Cl)ccc1Cl,4.7
CCCCOCCOCCO,5.0
CCC(=O)C=C,11.3
CC1CN1,8.4
