C=CCNCC=C,15.6
O[P](O)(O)=O,14.7
CC=CCl,15.3
CCOC(Cl)=CCl,16.9
[CH2]=[C]=[CH2],15.3
CCCOCCO,16.1
Cc1ccc(O[P](=O)(Oc2ccc(C)cc2)Oc3ccc(C)cc3)cc1,19.0
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C,16.6
CCCCc1ccccc1C,17.6
CC(=O)c1sccc1,19.1
O=C1CCCCC1=O,18.6
CCCC(F)(F)C(F)(F)C(O)(F)F,15.1
[O-][N+](=O)OCCO[N+]([O-])=O,16.2
CC=CC=C,15.0
Oc1cc2[nH]ccc2cc1O,19.5
[O-][N+](=O)c1cccc(Cl)c1Cl,19.7
CC1CO1,15.2
FC(F)(F)c1cccc(c1)C(F)(F)F,17.0
CCC=C,13.2
O=C1CCO1,17.0
CCCCCCCC=C,15.4
OO,15.5
CCCOC(=O)C(C)=C,15.5
OCC(Cl)=C,17.1
CCCCOCCOCCOC(C)=O,16.0
CC1(C)[C@H]2CC[C@@]1(C)C(=O)C2,17.8
C1CCNCC1,17.3
[nH]1ccnn1,20.7
COC(C)(C)C,14.8
COCCOCCO,16.2
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,12.1
CC(C)COC(=O)CCCCC(=O)OCC(C)C,16.7
CCN1CCCC1=O,18.0
CCO[S](=O)(=O)OCC,15.7
C1CCC(CC1)c2ccccc2,18.7
CCCCC(O)CC,15.9
ClC(Cl)(Cl)C(Cl)(Cl)Cl,18.6
CCOC(=O)c1ccccc1,17.9
CC#CC,15.1
[O-][N+](=O)CCl,17.4
Cc1cc(C)cc(C)c1,18.0
C[n+]1ccc(cc1)c2cc[n+](C)cc2,19.5
FC(=C)C=C,14.2
O=CC1CO1,17.5
CSc1ccccc1,19.6
Cc1ccc(N)c(C)c1,19.2
CC(C)OC(C)=O,14.9
CCCCCCCCCCCCCCCCCC(=O)OCCCC,14.5
OCCCO,16.8
FC(F)(F)Br,14.3
CCOCCC=O,16.0
CCOC(C)=O,15.8
Cc1cccc2ccccc12,19.7
CCOC(=O)C=Cc1ccccc1,18.4
COC#C,15.8
C/C=C/C#N,16.4
CCCCOC(=O)C=C,15.6
CC(C)=C,14.5
ClC(=C)C=C,16.1
CC(Cl)=O,16.2
Cc1ccc(Cl)c(O)c1,19.0
CCCS,16.1
O=C(OCc1ccccc1)c2ccccc2,20.0
CC12CCC(CC1)C(C)(C)O2,16.7
CCCCC(CC)COC(=O)C=C,15.3
CCCO,16.0
CCCCC=O,15.7
COC(=O)CCC(=O)OC,16.1
CCCCCC=C,15.0
CCOC,14.0
ClC1C(Cl)(Cl)C1(Cl)Cl,18.5
CCOCC,14.5
COc1ccc(N)cc1,19.9
CN(C)C(=S)N(C)C,17.3
N#CSC#N,18.1
C=O,12.8
CC1CCCCC1=O,17.6
COc1cc(C=O)ccc1O,19.4
C=COC=O,15.3
C=CCOCC=C,15.3
CC(=O)CCl,16.8
CCC(C)=C,14.5
FC(F)Cl,12.3
OCCOc1ccccc1,17.8
CCOc1ccccc1,18.4
COC(=O)CCCCC(=O)OC.COC(=O)CCCC(=O)OC.COC(=O)CCC(=O)OC,16.2
CSSC,17.6
OCCCCCCCCCO,15.7
C=CC1CO1,16.6
COC1OCCO1,17.8
CCCCCC,14.9
